CreditScore,AnnualIncome,LoanAmount,LoanDuration,Age,EmploymentStatus,MaritalStatus,NumberOfDependents,EducationLevel,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,InterestRate,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,InvestmentAccountBalance,RetirementAccountBalance,EmergencyFundBalance,TotalAssets,TotalLiabilities,NetWorth,LengthOfCreditHistory,MortgageBalance,RentPayments,AutoLoanBalance,PersonalLoanBalance,StudentLoanBalance,UtilityBillsPaymentHistory,HealthInsuranceStatus,LifeInsuranceStatus,CarInsuranceStatus,HomeInsuranceStatus,OtherInsurancePolicies,EmployerType,JobTenure,MonthlySavings,AnnualBonuses,AnnualExpenses,MonthlyHousingCosts,MonthlyTransportationCosts,MonthlyFoodCosts,MonthlyHealthcareCosts,MonthlyEntertainmentCosts,LoanApproved
612,47474.4,17322.0,9.0,54,Unemployed,Single,2,Master,Rent,707,0.4369610653105173,6,1,0.5108835346378506,0,Debt Consolidation,0,0.1665433704139458,25,5158,621,5453,35960,5866,16463,76780,48838,8,187067,1228,613.0,5797,30675.0,0.5675583762418817,Uninsured,Uninsured,Uninsured,Uninsured,1,Other,24,383,4541,31905,1543,211,187,204,78,0
485,51672.8,15006.0,2.7,50,Self-Employed,Widowed,0,Bachelor,Own,931,0.6338045438209846,14,1,0.8476836165142093,1,Debt Consolidation,0,0.2412334262313286,29,10986,2341,9990,23709,3241,105087,59693,58771,13,187464,1291,8779.0,-268,34578.0,0.9312706470630392,Insured,Insured,Uninsured,Insured,4,Self-Employed,21,696,5712,45864,315,353,66,-31,102,0
596,39986.4,17510.0,9.0,43,Employed,Single,4,Bachelor,Other,400,0.5941516845144071,3,6,0.7579438540988019,0,Other,0,0.1621472280671008,1,6009,1560,15600,19215,5305,54726,52076,2559,6,99266,1010,7391.0,5493,17814.0,0.9598166002880304,Insured,Uninsured,Uninsured,Uninsured,1,Self-Employed,5,260,89,40189,823,449,132,177,209,0
662,37663.2,16534.0,3.6,39,Employed,Widowed,3,Doctorate,Other,525,0.157349999610618,1,0,0.9321862272476644,0,Education,0,0.1643402153545164,5,-328,2511,10616,9153,3143,104810,41120,41897,2,149392,1090,12331.0,7739,15459.0,0.1305712345103059,Insured,Uninsured,Uninsured,Uninsured,2,Public,9,623,6463,22995,110,795,258,218,236,0
697,64926.0,11592.96,9.0,58,Self-Employed,Divorced,1,Doctorate,Other,410,0.3744295436983976,0,4,0.6572509484099547,0,Other,0,0.0543402244884221,4,8570,3281,17790,34918,6487,114389,18045,27999,28,256439,807,5845.37974240532,5679,13162.856878075949,0.0608580209225886,Uninsured,Insured,Insured,Insured,2,Other,39,240,5972,34302,1445,322,527,205,32,1
351,30936.800000000003,18235.0,11.7,51,Unemployed,Single,4,Master,Other,42,0.8813150829651337,10,5,0.9059875142606626,0,Other,0,0.1996663015365974,10,-1815,3586,6070,41123,827,99095,53148,110305,7,100988,1161,5754.0,1742,19747.0,0.8271347608900116,Uninsured,Insured,Uninsured,Insured,1,Self-Employed,33,296,1580,47248,929,493,172,225,14,0
378,52682.4,26697.0,9.0,45,Self-Employed,Divorced,1,Doctorate,Mortgage,773,0.7685896960465255,8,9,0.237473811236322,0,Home,0,0.0796452075882158,16,1641,2273,3960,35315,-296,178754,60666,91913,13,84462,1119,9161.0,5869,29768.0,0.0806710647313373,Uninsured,Uninsured,Insured,Uninsured,0,Public,9,742,6431,40394,1441,325,424,203,37,0
393,53208.0,21781.0,9.9,33,Self-Employed,Widowed,0,Bachelor,Other,433,0.1095867145661315,2,2,0.1207450494217158,0,Other,0,0.0266333805372111,27,-1589,2529,18028,1677,6727,15221,40592,62579,6,172948,833,12033.0,2261,9991.0,0.2136743577341033,Uninsured,Insured,Uninsured,Uninsured,4,Self-Employed,8,46,5733,11298,784,165,312,263,205,0
818,47748.0,9736.320000000002,17.0,49,Employed,Widowed,0,High School,Other,491,0.3117494693959979,5,0,0.4343077170133922,0,Home,0,0.171029888610737,9,8556,3055,9712,28374,3551,-3637,15620,6666,9,168928,921,4697.36822542842,4078,824.3843586779449,0.3352912799620937,Insured,Uninsured,Insured,Uninsured,0,Private,21,228,4567,33262,423,21,281,376,82,1
651,48545.600000000006,18308.0,9.0,53,Unemployed,Married,4,Master,Other,854,0.3991466401015284,10,3,0.5696984264457065,0,Auto,0,0.1505591022469017,5,7294,2146,9310,45081,7504,9915,92967,56084,17,114351,677,5559.0,6105,726.0,0.4542744847089365,Uninsured,Uninsured,Uninsured,Insured,0,Other,2,482,7267,23763,737,614,196,349,212,0
303,37272.8,17700.0,10.8,44,Self-Employed,Single,4,Master,Other,637,0.2724140911097613,0,2,0.0552470898126349,1,Other,1,0.0433238718990882,22,5131,2833,9121,5172,-1279,99155,45040,88147,4,79885,372,4982.0,1792,30421.0,0.3192928505203736,Insured,Insured,Uninsured,Insured,2,Other,19,287,4675,37765,1257,556,431,137,125,0
621,40012.0,24696.0,19.8,32,Employed,Divorced,3,High School,Own,686,0.5231766676201568,6,2,0.2365356686894324,0,Other,0,0.2337140772815801,16,7482,2230,17603,55562,3270,140389,61062,46401,3,202600,384,11606.0,4155,36806.0,0.8556200930428073,Insured,Insured,Insured,Insured,3,Public,11,724,4747,37342,929,320,161,238,124,0
481,57952.0,30322.0,18.9,38,Employed,Single,4,Doctorate,Other,706,0.3363036182273269,9,1,0.877339834965789,0,Other,0,0.2439899859263615,2,5748,1033,12388,33585,1969,140014,27555,642,8,265607,778,1365.0,5824,19485.0,0.2710577510213171,Insured,Uninsured,Uninsured,Insured,3,Other,2,609,5543,27579,538,326,706,268,72,0
743,88523.0,13065.6,16.0,42,Self-Employed,Widowed,1,Doctorate,Mortgage,282,0.8145505696512614,12,5,0.5283479191846556,0,Other,0,0.0492059306310759,4,6306,1744,10150,38003,854,125999,51849,35618,5,99654,942,7122.034751782647,5553,22536.205010616177,0.64605760887902,Uninsured,Uninsured,Uninsured,Uninsured,0,Self-Employed,5,-111,3160,36278,1036,84,508,162,127,1
628,40414.4,17246.0,19.8,30,Employed,Single,1,High School,Other,477,0.6860128315195405,0,6,0.7703565114536239,0,Auto,0,0.0868089854888915,24,1424,2702,13637,22294,204,1733,49600,98538,10,223759,1095,8832.0,5049,20449.0,0.6498234637426004,Insured,Uninsured,Uninsured,Insured,2,Private,6,12,7736,35316,364,112,741,147,199,0
327,53684.0,21040.0,5.4,40,Employed,Single,4,Master,Own,821,0.6524322532258074,7,8,0.6170541995888686,1,Home,0,0.147612426215233,14,9051,3604,12864,43369,4031,187192,8819,34095,4,217304,832,11341.0,4079,7835.0,0.815627563305969,Uninsured,Insured,Uninsured,Uninsured,0,Other,1,290,4046,29047,679,17,430,309,102,0
691,52022.4,16274.0,3.6,57,Self-Employed,Married,4,High School,Mortgage,547,0.3227358747823268,3,8,0.1903794986465458,0,Debt Consolidation,1,0.1345509046098369,9,5308,1852,1574,60877,348,156544,2732,70278,29,192345,1262,3942.0,7425,13544.0,0.5522944356054914,Uninsured,Insured,Insured,Insured,1,Public,11,870,5876,13200,794,340,344,123,50,0
311,53713.600000000006,12773.0,9.9,45,Employed,Single,1,Doctorate,Mortgage,203,0.6419026745040718,3,3,0.2325535781837333,0,Debt Consolidation,0,0.1419664525882143,25,-40,1335,5951,36449,-1845,98946,85638,52089,11,44950,1088,13028.0,6592,5410.0,0.0044627486218229,Uninsured,Uninsured,Insured,Uninsured,4,Private,24,1069,3042,24773,1065,239,503,93,-25,0
695,68776.0,13678.72,9.0,25,Employed,Single,3,High School,Own,332,0.7190882164090504,5,0,0.486963366801004,0,Other,0,0.2310381836754151,8,8456,1121,16453,34176,5925,121940,30779,25329,6,176374,1429,11380.81142124938,6707,15270.705509941796,0.5698191179655919,Uninsured,Insured,Insured,Uninsured,3,Private,4,-8,5450,21366,553,128,613,255,109,1
629,21059.2,17221.0,0.9,54,Employed,Widowed,3,High School,Other,884,0.7490962315558911,7,9,0.7221498477434216,0,Home,0,0.1674697688206526,0,7604,1204,7938,36247,1253,107107,58096,34575,12,172531,934,16509.0,4661,8944.0,0.1381856268920623,Uninsured,Uninsured,Insured,Uninsured,2,Public,15,598,1581,18960,1210,173,243,196,106,0
428,54527.2,15282.0,10.8,38,Unemployed,Married,2,Doctorate,Own,476,0.1424458800075029,5,8,0.9638382943106886,0,Debt Consolidation,0,0.1767505286417853,8,6648,1495,5890,32876,2206,114485,35444,25210,0,176652,1573,7199.0,3749,15243.0,0.8034385449897757,Insured,Uninsured,Uninsured,Insured,1,Other,10,703,8148,40369,-11,425,220,264,23,0
641,51679.0,12572.160000000002,15.0,49,Employed,Married,1,High School,Other,453,0.7704316031272017,13,5,0.6365121670072991,0,Other,0,0.1964236224660442,28,3347,1313,8710,21813,3958,173663,47543,36928,9,127629,336,7960.850506323436,3495,10045.872214619609,0.2230737417942041,Uninsured,Insured,Uninsured,Insured,4,Other,14,738,5444,25246,638,293,266,148,175,1
666,38358.0,9619.840000000002,12.0,41,Self-Employed,Divorced,2,Associate,Other,723,0.9607662924123308,4,1,0.4461707913154263,0,Debt Consolidation,0,0.1030272166592279,9,5551,2586,6512,37270,3111,180028,35795,57975,1,197609,1132,100.80835076992444,3901,7184.32073530372,0.4556576203459779,Uninsured,Insured,Uninsured,Insured,2,Private,6,94,5159,32207,1412,251,497,330,106,1
839,59642.0,12291.2,16.0,35,Employed,Widowed,4,Bachelor,Other,384,0.5282887399952811,4,3,0.7415318904116965,0,Home,0,0.0763092232697575,17,5339,1345,12179,22570,3047,138665,32882,42825,2,168668,1096,8709.390125846383,4533,15661.2033640524,0.6721104963686665,Uninsured,Insured,Uninsured,Insured,1,Public,0,401,5987,21635,221,499,-45,258,126,1
300,41256.8,16522.0,5.4,57,Self-Employed,Single,2,High School,Other,1014,0.8861733075139118,9,5,0.1177122975164505,0,Auto,0,0.1690302100359283,3,4205,2464,11522,22874,2227,114369,70675,1932,0,121805,1041,12834.0,8110,2058.0,0.1318804503922056,Uninsured,Uninsured,Uninsured,Uninsured,1,Public,38,195,8555,31624,983,513,480,164,107,0
661,75788.0,13763.84,5.0,53,Employed,Single,1,Associate,Other,544,0.646144089831677,13,5,0.8176481244410907,0,Auto,0,0.2983664042846334,18,7813,1635,9829,45117,5009,153435,31375,66858,3,208920,918,5898.040821165729,5976,10275.412171874588,0.395035456990636,Uninsured,Uninsured,Uninsured,Uninsured,2,Private,17,339,5673,22229,423,281,112,150,95,1
600,37479.2,29415.0,9.9,47,Self-Employed,Single,2,Master,Mortgage,482,0.8033418348168447,1,6,0.1496155366725107,0,Other,0,0.2114440908338979,12,6729,1442,2734,17196,3225,186279,39494,36967,8,69413,640,11290.0,2639,2493.0,0.7730896461882342,Insured,Insured,Uninsured,Insured,4,Other,22,330,7454,21747,1066,224,466,110,85,0
436,51786.4,21007.0,22.5,28,Employed,Married,2,Associate,Mortgage,638,0.2642323390135191,9,5,0.5974094224563418,0,Auto,0,0.0711888224973501,26,8601,3372,-813,41799,2683,49962,53609,77645,6,64579,1426,3658.0,3189,13515.0,0.2915685751617869,Uninsured,Uninsured,Uninsured,Insured,4,Self-Employed,10,852,5268,18893,1216,380,961,296,10,0
585,32404.0,26168.0,7.2,56,Unemployed,Divorced,3,Master,Other,484,0.7467525703240103,1,9,0.5493712909671783,0,Auto,0,0.180349126190167,19,6701,1933,13981,22563,1331,-8810,61911,-3666,16,188950,1186,17008.0,1447,3727.0,0.1644945130517126,Insured,Insured,Insured,Uninsured,1,Other,33,910,8355,29633,468,444,343,134,153,0
620,46942.4,27552.0,6.3,33,Employed,Single,1,Master,Mortgage,702,0.0857925422645973,2,6,0.3045026242830545,0,Debt Consolidation,1,0.232189667809061,18,2869,2197,10112,28214,923,114082,-1622,34858,9,182702,633,13182.0,3768,18639.0,0.9287283206025988,Insured,Insured,Uninsured,Insured,0,Self-Employed,3,146,2370,-1293,794,242,534,323,123,0
455,51077.600000000006,21530.0,2.7,45,Employed,Divorced,4,Associate,Mortgage,384,0.8061156724506239,4,5,0.5227777740025368,0,Debt Consolidation,0,0.2546884408180105,6,4265,3146,20147,16621,1386,98981,61391,38267,22,213392,1093,4834.0,4521,7128.0,0.963793212954724,Uninsured,Uninsured,Insured,Uninsured,3,Public,17,866,4483,23983,1141,322,347,286,27,0
389,39599.2,14499.0,9.9,43,Employed,Widowed,4,Bachelor,Mortgage,419,0.6116241694162221,14,6,0.7919582836410187,0,Auto,0,0.0651974218464012,17,1231,1856,8901,32791,3639,165801,89678,15145,25,71131,1451,15913.0,7314,27428.0,0.8735563820890638,Uninsured,Uninsured,Insured,Uninsured,4,Public,8,355,1588,32822,1682,195,128,186,97,0
519,29825.6,15157.0,10.8,50,Self-Employed,Divorced,4,Associate,Other,368,0.2607361246972404,0,1,0.3846991824916551,0,Other,1,0.1380594596211527,6,1940,1727,14500,31934,-2184,183957,62738,62681,4,214723,1509,7256.0,5901,21619.0,0.8894856518903869,Uninsured,Insured,Insured,Insured,2,Public,3,449,5446,22034,863,134,466,263,70,0
722,44852.8,14785.0,5.4,54,Self-Employed,Widowed,4,High School,Mortgage,526,0.6687193219242014,3,5,0.2540312166194124,0,Auto,0,0.1905879544013238,25,7869,1603,16391,25959,4476,136665,4903,70119,15,127258,1079,5743.0,5894,27352.0,0.4565960024522388,Uninsured,Uninsured,Uninsured,Insured,4,Self-Employed,25,1287,7217,34718,602,196,359,89,133,0
617,48995.2,18188.0,13.5,42,Unemployed,Divorced,3,Master,Other,233,0.4957177638976238,11,7,0.7066878940554021,1,Auto,1,0.0464173883351054,22,6005,2433,13025,34755,2779,122214,76153,127337,5,105009,1233,6365.0,6998,7664.0,0.9257705547889682,Insured,Insured,Insured,Uninsured,3,Public,14,191,6313,36443,449,68,700,293,180,0
366,46852.0,16245.0,5.4,46,Unemployed,Married,3,Doctorate,Other,-23,0.1505524869495399,13,1,0.1100327879789971,0,Debt Consolidation,0,0.1414721246995885,2,1760,2915,10586,26697,1166,92008,69336,43489,16,185074,740,10276.0,8699,24561.0,0.3250224944149917,Insured,Insured,Insured,Uninsured,4,Private,24,642,5981,32008,744,267,569,107,75,0
474,49380.8,21025.0,16.2,37,Employed,Widowed,0,Associate,Other,331,0.1795422165189184,12,9,0.7031951393190091,0,Education,1,0.2889877149455703,2,7305,404,16104,18148,-149,135350,32508,60815,13,150915,1158,6614.0,7309,27891.0,0.8922848776882204,Insured,Insured,Uninsured,Insured,3,Self-Employed,7,322,6461,28643,1288,395,253,491,53,0
615,71430.0,15991.680000000002,10.0,52,Employed,Widowed,3,High School,Other,103,0.4436402122323624,12,3,0.0956018198473668,0,Other,0,0.1272596809487719,21,5050,3933,13226,19998,3112,76731,34217,53624,0,157802,1147,8529.590156935845,6314,8951.358516001352,0.6319420586868669,Uninsured,Uninsured,Uninsured,Uninsured,2,Public,20,139,7316,30356,810,333,264,302,127,1
757,85121.0,10019.840000000002,12.0,46,Employed,Divorced,3,High School,Mortgage,255,0.053874594538574,9,4,0.4704359001104258,0,Other,0,0.1014052139343284,9,6457,1924,12053,26154,2674,183727,20123,51408,4,115979,744,5911.582241418405,6382,14658.365684947566,0.1492614210553235,Uninsured,Insured,Uninsured,Uninsured,0,Other,24,135,5667,46039,1312,361,-9,272,110,1
328,36233.6,23058.0,9.9,48,Employed,Widowed,4,Master,Other,645,0.654404611285451,14,4,0.3907191942378636,0,Other,0,0.1854874466212321,15,978,1018,2321,30176,4110,99199,11159,15253,16,216872,994,12492.0,4032,5085.0,0.9926829554984912,Insured,Insured,Insured,Insured,4,Other,14,241,4458,14810,1306,360,570,160,106,0
437,72412.8,18774.0,7.2,37,Employed,Divorced,2,Doctorate,Other,325,0.3665414677182496,11,4,0.3077496067683191,0,Education,0,0.259950211675721,12,6338,2301,7356,13766,4106,183550,55534,4343,18,167113,1017,9576.0,3575,29934.0,0.0064469492012452,Insured,Insured,Uninsured,Insured,1,Private,14,453,4158,30497,741,110,332,151,58,0
497,57453.600000000006,18462.0,2.7,50,Self-Employed,Divorced,0,Bachelor,Mortgage,626,0.0293734521183991,14,4,0.2094716809744456,0,Other,0,0.2485024125572885,27,7165,2563,17556,48596,4368,39270,65376,31640,25,146176,1303,11549.0,6808,17742.0,0.9546085768678456,Uninsured,Uninsured,Insured,Uninsured,4,Self-Employed,10,125,5344,39783,1118,233,456,274,181,0
525,57152.0,15182.0,0.9,54,Unemployed,Widowed,1,Master,Own,669,0.6131405097752634,6,4,0.0154619584145554,0,Other,0,0.0399273812535349,11,4296,1847,16941,29758,1991,67244,68034,73379,11,105150,1296,13594.0,1875,27131.0,0.2641310825938673,Uninsured,Uninsured,Uninsured,Uninsured,3,Private,6,844,5946,21838,788,183,529,150,6,0
311,43794.4,23662.0,2.7,61,Self-Employed,Married,4,Associate,Mortgage,791,0.8042074172155229,8,0,0.3311820140942181,0,Other,0,0.0806747737935565,18,3915,2747,1166,31918,2904,102223,48057,109453,0,172281,1031,4285.0,4098,20514.0,0.242789491161253,Uninsured,Uninsured,Insured,Uninsured,3,Private,22,540,4831,22574,979,523,304,225,126,0
520,76681.0,20583.040000000005,7.0,57,Self-Employed,Widowed,4,Doctorate,Rent,523,0.0296369318677245,13,2,0.0069225556156795,0,Other,0,0.2550502479645316,1,4302,2595,10273,37416,4853,107840,50278,43823,3,146310,904,5866.444173909484,3077,13944.552403240008,0.9564832753674248,Insured,Insured,Insured,Uninsured,2,Private,32,199,3751,44611,1033,275,713,130,30,1
387,38138.4,18965.0,19.8,33,Unemployed,Widowed,0,Master,Mortgage,683,0.0183327111316874,3,6,0.8027293319106469,0,Debt Consolidation,0,0.1992757497965368,2,8905,2234,12662,-12842,2333,79830,57170,39540,11,167847,1035,14249.0,4636,31509.0,0.4470798706520784,Insured,Uninsured,Uninsured,Uninsured,0,Private,13,736,6486,31935,592,298,432,139,44,0
608,76321.0,14025.6,6.0,30,Self-Employed,Divorced,2,Doctorate,Other,716,0.1235738885706736,0,7,0.4795128650103185,0,Debt Consolidation,0,0.212963059451773,29,7136,1783,2484,29372,996,6163,36417,53077,6,147397,707,5913.839144793851,7539,7396.365268987435,0.9922659238659612,Uninsured,Insured,Uninsured,Insured,4,Public,10,925,6293,35295,1217,349,53,272,129,1
388,45237.600000000006,19265.0,6.3,48,Self-Employed,Single,3,Master,Mortgage,274,0.1792278219033345,2,2,0.5707641991597827,0,Auto,0,0.2941934562651946,15,7480,936,16751,56498,-5,44502,16204,34848,9,100440,616,5924.0,5249,16317.0,0.8663330267397118,Uninsured,Uninsured,Uninsured,Uninsured,3,Public,13,944,6370,27778,539,387,405,335,161,0
494,43756.0,13138.0,2.7,52,Self-Employed,Widowed,3,Doctorate,Mortgage,766,0.8486583637409857,13,0,0.3174091592527045,0,Other,0,0.0877253298136455,16,279,1225,9091,26606,2629,176195,39940,-2742,3,247480,1404,7881.0,5101,22314.0,0.8863941712421685,Uninsured,Uninsured,Insured,Uninsured,0,Private,9,95,3685,36723,356,253,402,269,105,0
414,53280.0,21911.0,5.4,42,Employed,Divorced,0,Bachelor,Mortgage,530,0.8642543091754342,11,9,0.6311208242796319,0,Debt Consolidation,0,0.0361520163589285,17,7316,1951,9244,26993,6244,146887,49034,58282,13,157619,1536,705.0,6122,38849.0,0.874231927640239,Uninsured,Uninsured,Uninsured,Insured,0,Other,22,592,2574,38913,1077,71,569,190,142,0
406,52579.2,24971.0,24.3,36,Employed,Widowed,4,Associate,Mortgage,364,0.7643247561679192,5,0,0.6927834039695262,0,Other,0,0.1905804636212143,20,9550,2152,5299,23064,-1255,66224,45234,52937,12,165104,603,11585.0,5478,41454.0,0.6839158674866382,Uninsured,Uninsured,Insured,Uninsured,1,Self-Employed,5,818,2516,39138,984,474,760,324,58,0
820,21884.800000000003,14034.0,19.8,23,Self-Employed,Single,4,Associate,Rent,509,0.1557204429369353,1,2,0.2152632504434423,0,Other,0,0.1379948518609422,14,8883,1216,6811,13378,3429,231193,67625,88877,4,111037,975,4037.0,5448,31762.0,0.4357024807979078,Uninsured,Uninsured,Uninsured,Uninsured,3,Other,2,766,7800,26589,1481,443,550,72,180,0
510,73647.0,7642.240000000002,8.0,57,Unemployed,Widowed,3,Doctorate,Other,292,0.0320241237570809,8,7,0.3975376697536644,0,Auto,0,0.1129268495589931,17,1911,2259,10278,18698,1581,150281,29124,88257,22,136191,1228,10797.025748133996,6942,16988.05628769704,0.647113016993849,Insured,Uninsured,Uninsured,Uninsured,4,Other,13,785,1960,28595,321,200,327,224,128,1
549,45508.0,26705.0,2.7,55,Unemployed,Single,2,Bachelor,Own,548,0.04575527200841,2,7,0.0604233874254627,0,Other,0,0.0672809715625587,27,4608,234,5192,12487,-351,179298,5050,59701,16,167695,795,8245.0,3408,6697.0,0.8961470011577832,Insured,Uninsured,Uninsured,Insured,2,Self-Employed,3,545,3632,39497,800,290,-2,224,59,0
525,59062.0,14219.520000000002,10.0,47,Employed,Single,1,High School,Mortgage,157,0.992013826721956,6,4,0.0460694909628989,0,Other,0,0.270666350632467,17,5085,2360,3947,47602,935,119408,25105,58499,22,146906,620,5046.435947497412,3196,3677.5380346796255,0.2839558695787191,Uninsured,Uninsured,Uninsured,Insured,3,Other,2,584,4166,42089,847,430,408,339,134,1
769,41336.8,23253.0,6.3,46,Self-Employed,Married,3,Master,Rent,734,0.8193418649010846,11,1,0.1183532905305236,0,Other,0,0.2153624119420227,10,8128,2856,3108,33691,4599,159689,55334,68646,23,197423,1212,15562.0,7353,10644.0,0.2158451426451586,Uninsured,Uninsured,Uninsured,Insured,3,Private,0,851,6315,16113,1082,-12,715,251,-13,0
728,71271.0,14206.080000000002,13.0,54,Self-Employed,Married,4,Bachelor,Rent,588,0.5523474100651222,8,6,0.5133474981095154,0,Other,0,0.2160820729694648,27,4940,882,15781,30374,1984,100449,7014,104158,11,198488,738,5080.289498129103,2911,13323.814774931572,0.0240431792480164,Uninsured,Uninsured,Uninsured,Uninsured,3,Self-Employed,26,-555,8716,33242,1861,419,393,117,138,1
442,49627.2,15011.0,2.7,39,Employed,Married,1,Doctorate,Other,509,0.8318261367172678,8,9,0.8268482660045385,0,Auto,0,0.0736229116069988,5,5684,1188,6822,40819,1744,73341,49677,65814,18,105674,1073,12546.0,10165,3806.0,0.056008730676998,Insured,Uninsured,Uninsured,Uninsured,0,Public,3,552,4497,28320,1375,452,582,188,81,0
383,28628.0,26908.0,13.5,49,Self-Employed,Divorced,0,Associate,Mortgage,462,0.1097026500681637,2,1,0.1668295665369317,0,Debt Consolidation,1,0.2421465125675552,27,2870,1796,5252,33710,5955,119090,74206,21103,20,241621,854,15558.0,4511,20200.0,0.275138387978369,Uninsured,Insured,Uninsured,Uninsured,0,Private,22,655,5106,40388,1009,433,186,123,62,0
725,84823.0,12390.4,21.0,36,Unemployed,Divorced,1,Bachelor,Mortgage,272,0.259481160227506,10,8,0.2597894909534467,0,Education,0,0.0505444169493964,16,9169,2367,3582,30757,4156,79208,7362,55802,17,213093,934,3442.5299486804047,6429,18271.520560884943,0.3355217480609137,Insured,Insured,Uninsured,Insured,2,Private,17,774,5111,25676,443,27,440,43,35,1
642,50264.0,21863.0,19.8,40,Employed,Widowed,4,Doctorate,Other,711,0.999993872441393,7,4,0.4196660760740228,0,Auto,0,0.1917172290133174,20,7334,1950,14664,22272,18,57569,84985,92071,9,94213,1044,13623.0,5773,4604.0,0.1080629111782975,Uninsured,Uninsured,Uninsured,Insured,3,Self-Employed,12,664,4404,16108,1435,307,346,123,140,0
570,49026.4,26765.0,3.6,44,Unemployed,Widowed,3,Doctorate,Mortgage,499,0.4239761976179882,6,2,0.6507207383875283,0,Debt Consolidation,0,0.120495362081514,22,4112,2017,15677,37259,2976,196941,55392,48255,1,176429,985,17910.0,3767,12338.0,0.2306473304418903,Uninsured,Uninsured,Insured,Uninsured,3,Self-Employed,6,341,7105,40683,1731,93,383,171,147,0
579,58703.2,35201.0,3.6,58,Employed,Divorced,3,Doctorate,Rent,688,0.0181322259127171,3,2,0.1575782666435522,0,Home,0,0.1608270268001915,11,6167,233,15277,48807,5447,103656,21465,64725,12,173662,1262,14550.0,2486,24178.0,0.1328814959857908,Insured,Uninsured,Uninsured,Insured,0,Private,21,804,1418,34963,1708,288,548,188,67,0
480,47227.2,30477.0,1.8,52,Unemployed,Divorced,0,High School,Other,710,0.769175918597937,9,2,0.6994635253735587,0,Other,0,0.2936751789016773,2,5973,3112,14963,36499,3594,178519,11340,81960,28,55309,669,10078.0,7253,14059.0,0.2694341743008563,Uninsured,Insured,Uninsured,Uninsured,2,Self-Employed,9,-35,8385,22134,381,461,633,249,206,0
660,62296.8,12961.0,2.7,50,Employed,Single,2,Bachelor,Other,334,0.1313228389603274,12,3,0.21107694082503,0,Debt Consolidation,0,0.0880920869574999,29,8567,2077,7914,14872,3991,80022,4621,40838,22,87875,1272,808.0,4258,12611.0,0.1698100677773059,Insured,Uninsured,Uninsured,Insured,0,Other,22,389,2699,40903,365,11,479,234,69,0
406,52280.8,19954.0,14.4,44,Self-Employed,Single,2,Associate,Other,801,0.6379157038841421,5,1,0.123718274054425,0,Other,0,0.029936403998225,13,2596,2073,7355,26985,-679,92903,35375,30258,1,151634,1031,6771.0,4809,14640.0,0.9454422811319718,Insured,Insured,Uninsured,Uninsured,4,Other,12,462,5318,34694,1086,139,597,205,223,0
523,39180.8,15220.0,6.3,48,Unemployed,Single,4,High School,Mortgage,516,0.1648215555199013,7,7,0.2195171514594983,0,Debt Consolidation,0,0.2134430414835423,15,1762,1399,10757,16475,2290,133623,25679,85498,0,89110,1048,5437.0,3648,17000.0,0.3531001441035756,Insured,Insured,Insured,Uninsured,2,Other,26,710,2509,15643,891,186,335,160,131,0
836,60554.0,12351.36,14.0,50,Self-Employed,Widowed,3,High School,Own,477,0.6213793191768452,7,3,0.6268402439087704,0,Other,0,0.2428778763507817,10,8727,4290,5769,19457,3883,186843,20047,70237,23,230035,704,-1532.4373919278812,6531,14092.213778181473,0.1247030520419324,Insured,Insured,Insured,Insured,1,Other,15,1161,1859,22059,530,58,548,222,34,1
495,49819.2,13603.0,14.4,36,Self-Employed,Married,2,Associate,Other,566,0.6777238655695557,1,3,0.0371217830180847,0,Education,0,0.0727639087086881,4,9492,1424,12315,15178,4900,88091,54168,71855,9,151949,729,11154.0,4179,13328.0,0.6067374955985351,Insured,Uninsured,Uninsured,Insured,3,Other,2,220,6271,21447,544,38,567,290,20,0
843,55841.600000000006,13462.0,2.7,55,Self-Employed,Single,3,Master,Own,697,0.5477274542431766,0,5,0.5033855419674627,0,Other,0,0.1456524492251062,26,8384,4042,16609,35212,3920,157981,32209,81390,19,223802,1165,10776.0,833,16939.0,0.3437878521593052,Uninsured,Insured,Insured,Uninsured,0,Other,22,782,4513,25346,744,277,239,255,49,0
725,47305.600000000006,23892.0,1.8,39,Employed,Single,3,High School,Rent,735,0.9185484000912048,12,2,0.5442570961835921,0,Education,0,0.0336915932953036,17,7022,279,6931,11689,7080,106416,75827,76170,3,131344,822,3536.0,6617,6913.0,0.97595773726909,Insured,Uninsured,Insured,Uninsured,2,Self-Employed,12,536,6685,18970,1494,362,391,139,111,0
338,64022.4,19876.0,24.3,38,Self-Employed,Married,2,Bachelor,Mortgage,568,0.7809067558072134,6,1,0.3541670862834369,0,Education,0,0.2028402518597747,23,8445,1084,15797,69134,5437,92571,64797,34120,20,171964,858,11749.0,4456,28793.0,0.462340547292591,Uninsured,Uninsured,Uninsured,Uninsured,4,Public,9,235,3765,15126,1696,382,308,173,87,0
