CreditScore,JobTenure,EmploymentStatus,TotalLiabilities,PaymentHistory,TotalAssets,LoanAmount,BankruptcyHistory,SavingsAccountBalance,InterestRate,DebtToIncomeRatio,HomeOwnershipStatus,CheckingAccountBalance,AnnualIncome,CreditCardUtilizationRate,NumberOfCreditInquiries,EducationLevel,MaritalStatus,NumberOfDependents,PreviousLoanDefaults,MonthlyDebtPayments,Age,LengthOfCreditHistory,UtilityBillsPaymentHistory,NetWorth,NumberOfOpenCreditLines,LoanApproved,LoanDuration,LoanPurpose
375,9,Self-Employed,57485,6,61402,25768.0,0,5028,0.2515743379105747,0.6094093751327115,Mortgage,474,66259.2,0.1844178946332663,7,Associate,Widowed,4,0,1011,50,3,0.1928619921533272,34645,14,0,7.2,Other
539,0,Self-Employed,-315,18,127771,14478.080000000002,0,3141,0.2213538656661553,0.0225229187381469,Mortgage,1651,62674.0,0.0002296949140628,7,High School,Single,2,0,367,44,21,0.4016603033528115,92923,9,1,8.0,Auto
307,5,Unemployed,105207,22,112038,19192.0,0,5119,0.0508037613513005,0.3530706755574481,Own,2873,61584.8,0.9375656713251856,6,Bachelor,Single,1,0,480,44,11,0.7797403979727248,56031,0,0,13.5,Auto
695,1,Unemployed,43302,12,122022,17698.0,0,7826,0.231269370233804,0.7461500281354122,Own,2978,58865.600000000006,0.7094428696061473,2,Associate,Married,2,0,474,29,1,0.4820579730493255,-923,5,0,0.9,Other
490,4,Employed,45229,17,131433,17808.0,0,887,0.1934136911113879,0.6237674844954958,Rent,785,35804.0,0.9095950611671452,1,Associate,Divorced,4,0,156,46,15,0.2393612868794153,63488,12,0,13.5,Home
339,10,Self-Employed,42571,3,150341,16769.0,0,3016,0.1769571961793988,0.816612057020414,Mortgage,2424,54324.0,0.034219125691122,0,Master,Divorced,1,0,750,35,3,0.2929671373388984,94195,9,0,9.9,Other
447,8,Employed,53953,2,124996,21651.0,0,6123,0.0275195138279018,0.9361261028720376,Rent,1786,61606.4,0.87938685520661,3,High School,Single,3,0,639,30,4,0.7726223285346062,24177,14,0,18.0,Education
570,11,Unemployed,9917,20,62321,14253.0,0,3092,0.0390784730635401,0.8724688011136826,Other,1048,78432.8,0.8098219235219357,0,Bachelor,Single,3,1,533,51,24,0.2290998212942129,23988,5,0,11.7,Other
546,3,Employed,40450,3,207301,31134.0,0,9642,0.040024233902659,0.7851216412448165,Rent,3245,59118.4,0.7666694822109615,7,Doctorate,Widowed,0,0,604,31,6,0.3332296606023389,49335,12,0,2.7,Education
309,34,Unemployed,61908,22,-28954,20438.0,0,1642,0.0691744672045323,0.3076343318956844,Rent,221,49796.0,0.587938136156042,6,Bachelor,Widowed,0,0,332,56,4,0.1852411487721953,108405,2,0,7.2,Debt Consolidation
484,0,Self-Employed,54973,16,85967,17716.0,0,5711,0.271942071540755,0.2580854067439623,Other,3873,43260.0,0.9130920293279944,1,Bachelor,Divorced,2,0,377,56,12,0.6067260885701953,44368,8,0,6.3,Auto
648,18,Employed,8867,26,42410,14323.84,0,3949,0.1900800436607058,0.7877324714202154,Rent,1765,61413.0,0.7312795650140883,6,Associate,Married,0,0,459,62,12,0.7658589986674073,51795,13,1,4.0,Debt Consolidation
592,7,Self-Employed,51402,29,103430,9545.6,0,2444,0.2161454689863983,0.4364749570749898,Own,2081,44976.0,0.2304090512187738,4,High School,Married,1,0,706,51,13,0.9879334062125038,25003,10,1,9.0,Other
384,5,Unemployed,55732,28,43718,23488.0,0,8781,0.1912775110893566,0.0305119486315211,Own,2356,45683.2,0.39878116120242,6,High School,Widowed,3,1,438,32,0,0.9489316125897148,62945,11,0,1.8,Other
320,28,Unemployed,20568,6,76318,22273.0,0,567,0.1891434390691069,0.5241483926354797,Mortgage,1892,53866.4,0.8536632356966687,5,Doctorate,Divorced,3,0,353,58,6,0.5255880079458022,29836,14,0,3.6,Auto
780,15,Unemployed,25905,5,148365,8743.04,0,6329,0.1463452108209327,0.0982015512864813,Mortgage,2802,81326.0,0.5764343814843838,6,Bachelor,Married,3,0,156,64,17,0.2715322591907539,57640,1,1,3.0,Home
306,21,Employed,50759,24,114315,20346.0,0,1880,0.0616233054617021,0.6150659029385084,Mortgage,1958,34780.0,0.4375373964831063,3,Master,Married,0,0,593,44,9,0.0555788077838719,75296,13,0,14.4,Auto
579,6,Employed,37085,28,205555,13226.880000000005,0,4237,0.2921756948417914,0.6185923464134438,Mortgage,1787,54089.0,0.7500346061039548,8,Bachelor,Single,3,0,313,47,28,0.340181927959946,71312,9,1,16.0,Other
321,27,Unemployed,63483,25,178897,17952.0,0,6090,0.2616621572018529,0.0379461982611726,Mortgage,1146,49328.8,0.4008233242848495,9,Bachelor,Divorced,2,1,309,54,13,0.2082159904128836,27220,13,0,4.5,Other
348,2,Unemployed,35504,3,76669,12163.0,0,3584,0.1886998657992842,0.5394529928393872,Other,1539,51140.8,0.7838523139811102,0,Master,Married,1,0,374,42,15,0.8163686053454322,21608,10,0,9.9,Auto
755,12,Self-Employed,30578,2,80893,13749.760000000002,0,4371,0.2969799212349504,0.1816379385018399,Own,871,38549.0,0.4312295971491259,3,Associate,Single,1,0,712,39,19,0.9432620339487502,75102,12,1,14.0,Other
542,0,Unemployed,47255,22,129718,26927.0,0,1756,0.2875060076976311,0.9028276185814028,Rent,464,50882.4,0.0809294549922614,0,Bachelor,Divorced,0,0,621,55,18,0.0960364064296295,18206,2,0,7.2,Debt Consolidation
826,7,Self-Employed,25657,13,115371,14093.44,0,8647,0.2991457649891418,0.1756150926924797,Mortgage,2796,50182.0,0.9391968520124344,6,High School,Single,2,0,309,46,14,0.754970095091768,53872,6,1,8.0,Other
456,11,Unemployed,71992,26,7558,15740.0,1,16,0.1788113419879717,0.4217158998984361,Rent,3969,29506.4,0.3298920917269572,1,Doctorate,Divorced,1,0,687,50,4,0.906550428526432,46292,8,0,6.3,Other
400,23,Employed,67258,10,97801,20692.0,0,5606,0.0749213151635867,0.890972580291295,Rent,1303,55928.0,0.5443286080836354,8,Associate,Single,3,0,410,50,26,0.8754672503469546,83754,2,0,9.9,Other
345,11,Self-Employed,42946,29,76131,20680.0,0,2346,0.0385646262296818,0.1158654958226025,Rent,986,25280.800000000003,0.7343979200914362,9,Master,Divorced,2,0,375,34,12,0.8401571772551697,65547,0,0,24.3,Other
396,7,Self-Employed,76850,1,80744,19381.0,1,3927,0.1614558242146915,0.709012948433861,Own,2220,62252.8,0.3228620530822466,1,Doctorate,Divorced,2,0,586,29,5,0.9276829923996218,61867,12,0,26.1,Auto
502,17,Self-Employed,54910,17,70482,12284.8,0,9766,0.0432330635106571,0.6736705128262078,Rent,1678,45506.0,0.8838642517053651,6,Master,Married,4,0,423,42,20,0.973241993037948,55747,8,1,7.0,Debt Consolidation
413,20,Self-Employed,73006,12,-16835,14784.0,0,4638,0.1290360521579759,0.6531218297080217,Rent,3187,79760.8,0.5822370727557851,1,High School,Married,3,1,713,51,1,0.2808574560501952,20550,1,0,7.2,Auto
479,9,Employed,50120,0,-30553,20216.0,0,6010,0.235990380909767,0.941660793107334,Other,595,72273.6,0.1514007970325579,3,Doctorate,Divorced,4,0,677,43,4,0.6219232505359683,26879,14,0,10.8,Other
725,25,Self-Employed,38465,29,71457,22977.0,0,9959,0.0970388490061141,0.6871711095019181,Other,3011,45623.2,0.4197997046201172,6,Master,Single,0,0,248,59,8,0.8086036365943587,62913,10,0,1.8,Other
838,4,Self-Employed,34638,16,208413,10785.28,0,6378,0.2482193360926574,0.4323884745725981,Own,1422,52378.0,0.6908922669831512,6,Master,Single,2,0,832,41,1,0.1329308382485942,60055,9,1,19.0,Auto
754,17,Employed,75889,6,70421,20527.0,0,5897,0.0364795808951445,0.2239789445269627,Rent,645,52673.600000000006,0.5527832812530106,6,Associate,Divorced,1,0,460,58,26,0.6537506107138077,41399,11,0,6.3,Debt Consolidation
827,19,Self-Employed,65675,26,43015,12353.920000000002,0,3679,0.2726511421730465,0.1740266615789341,Mortgage,1328,80977.0,0.7891045318449567,1,Associate,Divorced,1,0,554,42,9,0.127445435383851,49712,9,1,21.0,Auto
496,24,Unemployed,58156,20,176421,14662.0,1,4716,0.203811675989456,0.0315522573922818,Mortgage,1157,66834.40000000001,0.2036698356111289,3,Associate,Single,0,0,301,46,14,0.5405609400248526,75943,4,0,2.7,Auto
489,0,Unemployed,63196,20,78172,29290.0,0,3082,0.0446582030325245,0.7142758441537941,Own,784,54764.8,0.641962756400864,9,High School,Divorced,2,0,575,27,8,0.7389517239881819,39753,11,0,5.4,Education
314,36,Self-Employed,31752,0,-24758,14880.0,0,-496,0.2886137125415453,0.8599373833657048,Rent,2015,59773.600000000006,0.5080203276268705,6,High School,Married,3,0,600,56,2,0.710994778494247,68501,1,0,0.9,Other
401,3,Employed,62819,4,-8379,15348.0,0,6467,0.0499369480645912,0.7450337646763439,Mortgage,1203,35028.0,0.3836666798311556,8,Master,Divorced,0,0,646,34,0,0.458345715458429,89254,6,0,2.7,Debt Consolidation
658,14,Unemployed,45984,9,79894,18515.0,0,5599,0.253076739899672,0.0135559836071543,Rent,2767,58917.600000000006,0.8917662883926224,0,Doctorate,Widowed,0,0,507,50,16,0.7328484397398786,58816,3,0,4.5,Home
323,3,Unemployed,-3305,20,44225,22465.0,0,5397,0.2417303890218174,0.7686381323735607,Other,1358,58001.600000000006,0.8599721865255799,8,Doctorate,Widowed,4,0,349,36,15,0.0296271018803619,96,6,0,25.2,Other
533,4,Employed,42086,0,-567,20452.0,0,8413,0.2717596892334125,0.2827176511389085,Other,1721,74905.6,0.0984452999255689,4,Bachelor,Widowed,4,0,628,31,3,0.7268864315080833,30267,14,0,10.8,Debt Consolidation
380,33,Employed,59559,9,137020,20597.0,0,1351,0.1856414306705349,0.6968209809621714,Other,3421,60844.0,0.9679356088537314,1,Bachelor,Single,2,0,477,53,7,0.2658571771487983,133399,14,0,6.3,Other
651,19,Self-Employed,24343,29,27041,15094.4,0,2373,0.0702836862903974,0.8394921566847947,Mortgage,2136,54121.0,0.5469555204281167,8,Master,Divorced,2,0,473,56,28,0.4799315605225945,28893,8,1,7.0,Other
565,5,Employed,19927,16,73149,32243.0,0,8452,0.2924011300017604,0.6050923411595909,Mortgage,4060,36959.2,0.3275210279692923,0,High School,Married,0,0,460,56,3,0.5569817058305522,78146,3,0,1.8,Debt Consolidation
457,3,Self-Employed,74792,13,154589,27516.0,0,-320,0.2491516010628719,0.7535224689615163,Own,1831,47054.4,0.1173257217922227,7,Associate,Single,4,0,568,36,5,0.4739495120881147,62581,11,0,18.9,Auto
436,11,Unemployed,46160,25,93252,22123.0,0,6538,0.2338206770862045,0.6911929053039918,Other,3486,46300.8,0.3112673170516337,8,Bachelor,Widowed,1,0,781,36,18,0.1319845432087123,-1828,12,0,15.3,Other
564,6,Employed,49894,10,110224,22973.0,0,2837,0.193181875029221,0.0691663532428921,Own,857,34767.200000000004,0.59479574517628,2,Master,Divorced,3,0,539,48,28,0.2173993042644959,68937,4,0,1.8,Other
423,9,Employed,60113,18,194913,29068.0,0,10196,0.034432023764916,0.2275498568687557,Own,2088,63384.8,0.3030322674526053,8,Bachelor,Divorced,1,0,731,54,27,0.644350295874293,66451,4,0,1.8,Auto
597,30,Unemployed,51833,19,164621,19550.0,0,4695,0.1038532989361061,0.8681152556634871,Other,1232,42200.0,0.2284024581628825,0,Doctorate,Divorced,0,0,677,51,1,0.1549974063153686,8559,7,0,2.7,Other
819,22,Employed,51648,10,129583,15696.0,0,6745,0.1501686388755956,0.5628803405535578,Mortgage,483,20686.4,0.7338968417600926,1,Bachelor,Married,4,0,179,40,17,0.0044813841974221,45800,7,0,16.2,Home
670,6,Employed,34008,2,187366,27328.0,0,1790,0.0537742771204747,0.2551194071487096,Rent,1438,39015.2,0.392927721520497,0,Associate,Widowed,1,0,242,44,9,0.8680534225994734,80803,2,0,6.3,Home
751,1,Employed,40639,3,79277,12237.440000000002,0,1765,0.2707128757059768,0.2680542782569268,Mortgage,2353,70314.0,0.6789429771877628,9,Associate,Divorced,3,0,548,29,11,0.3387117744193137,11493,5,1,30.0,Debt Consolidation
332,14,Employed,76705,27,849,19639.0,0,4269,0.1665861468959644,0.0272911680304726,Own,2373,29777.6,0.94709501843005,1,Doctorate,Widowed,0,1,431,35,17,0.0994731907934329,47413,13,0,9.0,Debt Consolidation
365,27,Self-Employed,14593,27,47869,20248.0,0,6653,0.2450464785269048,0.5005397743339152,Other,1440,59842.4,0.4675033768260648,8,Master,Divorced,1,0,461,46,18,0.760309140498709,58648,1,0,17.1,Auto
453,15,Unemployed,67823,28,-3275,17154.0,0,5823,0.1773890601056113,0.6597595857693538,Mortgage,3349,53025.600000000006,0.0370108663891837,0,Associate,Single,4,0,457,41,10,0.998204629024177,22262,0,0,11.7,Other
334,24,Self-Employed,37012,2,39646,13673.0,0,2737,0.1535274126071346,0.1081835531037819,Other,3192,48320.0,0.2268615225716169,1,Doctorate,Divorced,0,0,428,51,25,0.594299353819101,36628,10,0,12.6,Debt Consolidation
317,17,Unemployed,23523,21,90825,18506.0,0,7183,0.0310803185834257,0.22875817516779,Other,2057,47709.600000000006,0.3279106474542793,2,Doctorate,Widowed,0,0,216,47,29,0.8735840375344115,-32677,12,0,16.2,Home
611,31,Self-Employed,28279,16,107411,12347.520000000002,0,7066,0.0924990575968578,0.4653370069170673,Rent,1306,83248.0,0.9827744596855476,2,Doctorate,Married,4,0,434,52,27,0.979911993249618,60112,12,1,6.0,Auto
699,20,Unemployed,44383,19,21886,21725.0,0,-2237,0.2327936278226142,0.8680735576261833,Other,1425,37488.8,0.7257842780829378,5,Doctorate,Married,2,0,347,47,26,0.6896641273110774,11506,9,0,3.6,Other
505,21,Self-Employed,69760,1,127760,15884.0,0,645,0.082613806446029,0.8142696009249714,Mortgage,2343,53118.4,0.0909639556632646,1,Doctorate,Divorced,1,1,660,61,21,0.8329008804002902,11624,1,0,0.9,Other
532,18,Unemployed,51130,19,74549,10503.0,0,1534,0.0842482839402411,0.1190296814468804,Mortgage,2850,42581.600000000006,0.7539199045883168,3,Master,Widowed,4,0,271,37,15,0.8887273693441872,24787,2,0,20.7,Auto
740,31,Unemployed,62921,14,-14391,13002.88,0,9342,0.2010907370524837,0.2091491361718298,Rent,2607,66519.0,0.9857878700154024,5,Associate,Married,2,0,410,61,15,0.4852081745083741,42138,0,1,5.0,Other
699,33,Unemployed,34170,26,85067,18714.0,0,3364,0.1166160494766305,0.5873267991494704,Own,240,48332.0,0.842582252862743,8,Doctorate,Divorced,1,0,776,53,21,0.4441375152173485,60119,1,0,0.9,Other
730,22,Employed,25782,14,177906,32031.0,0,5970,0.2781099364368533,0.0210422407567203,Mortgage,1375,68793.6,0.634916307044439,2,Doctorate,Divorced,4,0,351,40,16,0.635956992619997,56110,1,0,4.5,Other
593,5,Employed,70023,27,79497,19045.0,0,7950,0.1562487553524011,0.5137581642027081,Own,1639,21608.0,0.8139716981909036,4,Bachelor,Divorced,2,0,866,56,11,0.9650705394798108,11858,8,0,8.1,Debt Consolidation
437,7,Unemployed,57174,0,48016,14873.0,0,9239,0.0346672520566305,0.7671192788036861,Other,3233,52123.2,0.6003576195177962,2,Bachelor,Married,1,0,321,42,5,0.7521257408558096,52372,10,0,13.5,Auto
486,8,Self-Employed,35150,19,138665,22947.0,0,3985,0.1486402807221213,0.5466037329292782,Rent,4015,47993.600000000006,0.4212893413850305,0,Associate,Single,3,0,764,31,5,0.0650740943791282,107696,2,0,18.9,Debt Consolidation
826,22,Self-Employed,65338,4,88904,21657.0,0,5774,0.29005361473895,0.0111071971987425,Other,1912,47272.0,0.2015027353347801,8,Doctorate,Widowed,1,0,390,43,21,0.9481932811316828,63099,5,0,5.4,Auto
303,3,Unemployed,44434,11,100597,25064.0,0,4103,0.1111056760576662,0.190085684323176,Other,3471,57269.600000000006,0.8060344365966464,3,High School,Single,3,1,726,42,10,0.6697118415798702,46068,2,0,14.4,Other
466,27,Unemployed,58270,6,73559,20874.0,0,9141,0.2285101246955519,0.6104247332359517,Mortgage,1941,56895.2,0.3465324189517276,8,High School,Single,4,0,535,55,15,0.0940036951885031,31956,10,0,7.2,Other
378,15,Unemployed,34576,17,35696,13074.0,0,10008,0.2841183022016674,0.5683416015962724,Rent,2338,50753.600000000006,0.6529929868506732,8,Doctorate,Single,4,0,206,44,1,0.7219209088712698,65297,8,0,7.2,Other
316,11,Employed,69036,1,77412,23051.0,0,1785,0.2870289864571483,0.8120183204667814,Other,1366,47817.600000000006,0.8029569017972445,8,Associate,Single,0,0,397,32,12,0.9520556378503326,50986,0,0,11.7,Home
797,29,Self-Employed,18867,26,95897,16799.0,0,5631,0.0745901001522906,0.3218660033725441,Own,1979,29619.2,0.2751727606124298,4,High School,Married,1,0,613,59,6,0.5619140846079568,41327,7,0,2.7,Other
672,23,Self-Employed,61967,24,128412,11434.0,0,11798,0.0131950843894015,0.91956241457811,Other,935,47622.4,0.3316644586841246,3,High School,Married,4,0,508,46,16,0.1468359730534296,28241,10,0,7.2,Other
719,2,Self-Employed,22033,29,57240,11284.48,0,6396,0.0850856004220209,0.167927943586143,Own,797,70639.0,0.8149273302186671,8,Doctorate,Married,1,0,668,39,2,0.0278778145737528,26332,13,1,13.0,Other
689,20,Self-Employed,7181,20,56506,11118.72,0,1234,0.1746828141542858,0.0355254454341157,Other,-165,67245.0,0.132959304322955,3,Bachelor,Married,0,0,156,50,1,0.3225508770363549,63307,5,1,15.0,Other
521,10,Self-Employed,28467,24,142166,16370.0,0,4373,0.0927767395456941,0.1931941802004435,Mortgage,2211,62704.8,0.5920776914083273,9,High School,Widowed,4,0,238,50,13,0.069625486801484,95432,12,0,9.0,Home
467,7,Unemployed,51665,0,107879,19098.0,0,6997,0.1651725130871118,0.4101949981059637,Mortgage,2132,28839.2,0.62605588504074,7,Doctorate,Single,4,1,479,57,16,0.2025561264546375,11724,10,0,0.9,Other
782,6,Unemployed,50442,18,74868,9829.12,0,5619,0.0325110401742962,0.5240748377079547,Own,1448,62021.0,0.7364868361653407,9,Bachelor,Divorced,0,0,248,39,11,0.1715511966539208,66289,11,1,3.0,Home
512,21,Self-Employed,40607,26,17175,13589.760000000002,0,6462,0.0652807468177815,0.2755372066522931,Other,1692,65320.0,0.7431804591552081,4,Master,Divorced,4,0,625,41,23,0.9578622893463424,6867,13,1,24.0,Home
541,21,Self-Employed,30331,22,129043,17306.24,0,5685,0.2830618820074975,0.5443334114770022,Other,4092,84941.0,0.1721142552054235,2,High School,Single,4,0,762,59,12,0.982980193125602,52049,13,1,3.0,Auto
575,13,Unemployed,51706,15,67574,16325.0,0,9442,0.2486439601488791,0.8173683399620169,Mortgage,419,47263.2,0.4754197001609347,3,High School,Married,3,0,528,39,15,0.9011011128538284,38022,3,0,8.1,Debt Consolidation
472,22,Employed,71631,13,53768,16367.0,0,5668,0.052137450383798,0.804264008964307,Mortgage,1945,38363.2,0.6004650480182447,6,Doctorate,Divorced,1,0,821,51,12,0.6411139888573871,56019,10,0,0.9,Home
615,3,Unemployed,12850,27,63123,14911.0,0,4760,0.1911030969634109,0.5391614430284474,Mortgage,-197,47617.600000000006,0.4460648933319584,3,Bachelor,Married,1,0,263,43,16,0.6323665811030337,39116,7,0,18.9,Other
679,7,Unemployed,60830,8,103904,19542.0,0,2830,0.0610411905441041,0.1965737097594798,Mortgage,1684,45749.600000000006,0.1310904725663781,3,Associate,Married,4,0,1053,44,21,0.6660909620437253,13841,9,0,1.8,Other
795,1,Self-Employed,2061,0,76043,9976.96,0,2761,0.0750086199090845,0.2272886579593837,Rent,3637,69914.0,0.0322401693124603,1,Doctorate,Married,2,0,517,58,24,0.7506164164544805,53258,3,1,7.0,Other
556,10,Unemployed,11431,21,93520,23429.0,0,7864,0.2409470118357295,0.9444226362588592,Other,1584,55850.4,0.9705663943478178,2,Master,Married,0,0,660,38,6,0.6149499644379613,38565,10,0,21.6,Home
653,33,Employed,43886,7,116919,13515.520000000002,0,4070,0.0460629581450314,0.3756454078624728,Other,3835,61876.0,0.7417492850661711,6,Bachelor,Married,1,0,270,59,9,0.96046042570372,78479,4,1,3.0,Other
651,29,Unemployed,29978,20,126385,13235.84,0,6252,0.1927897221057198,0.1842615714760401,Mortgage,-7,65864.0,0.0470253346621997,4,Master,Widowed,3,0,375,53,16,0.5196400122616877,52855,8,1,5.0,Debt Consolidation
533,29,Employed,51889,13,89371,26551.0,1,3667,0.1561676269517718,0.8745559975817321,Other,3192,44039.2,0.1058273133137466,1,Master,Divorced,1,0,543,51,14,0.2409945232366149,73711,13,0,2.7,Auto
321,19,Unemployed,54001,4,36490,23613.0,0,3345,0.2694673123032343,0.6277010114150996,Own,532,81795.20000000001,0.9902465787310112,6,Bachelor,Divorced,4,0,649,42,0,0.2702787278299846,54187,1,0,20.7,Home
496,14,Unemployed,78644,11,75556,22713.0,0,9314,0.0635194611028575,0.5776565147922627,Other,3064,50437.600000000006,0.0291717094764533,0,Master,Single,4,0,635,44,23,0.4050662948828478,89290,6,0,6.3,Auto
423,36,Unemployed,41258,14,58606,28354.0,0,1929,0.1238529502506793,0.7568914774931088,Rent,2655,60331.2,0.8641164712329638,0,High School,Single,0,0,667,54,16,0.2677449952948735,16530,1,0,4.5,Other
629,21,Employed,27356,19,120209,12634.240000000002,0,-165,0.1284839782896969,0.3234369154449423,Other,2423,62610.0,0.1119346171392184,6,High School,Married,4,0,268,47,18,0.5643446150374762,85872,7,1,18.0,Home
683,25,Employed,66137,0,117738,36063.0,0,8135,0.0681665600072341,0.9672412647076524,Other,2020,31148.800000000003,0.3338089577212413,6,Associate,Widowed,2,0,500,50,10,0.689735075030347,65931,6,0,8.1,Debt Consolidation
569,28,Employed,32770,26,73381,14250.24,0,8160,0.1909869186696619,0.6271759015973252,Own,2877,65336.0,0.4026138052163682,6,Doctorate,Widowed,3,0,788,50,24,0.8755709224657995,92996,2,1,16.0,Debt Consolidation
539,25,Unemployed,41364,4,52855,14842.0,0,6734,0.0984759469335209,0.5699131083113513,Rent,1711,55297.600000000006,0.8534601318457417,3,Master,Single,2,0,735,53,10,0.1702795423454129,46603,4,0,1.8,Auto
482,5,Unemployed,74420,15,118621,13427.0,0,9475,0.2382156144356858,0.3190923257785691,Own,3066,48832.0,0.7361263377385503,7,Master,Single,3,0,557,41,8,0.4096353978000681,27633,7,0,5.4,Home
677,0,Self-Employed,37935,22,59897,21726.0,0,5025,0.2751787522524503,0.5371455103426459,Other,691,56155.2,0.6176173153430031,8,Doctorate,Widowed,2,0,154,41,4,0.7127919208600919,50363,3,0,11.7,Home
706,26,Employed,13932,3,165009,14293.120000000004,0,6746,0.2798568604414996,0.3475919936440779,Other,2333,93037.0,0.161240663609513,1,Associate,Married,4,0,702,47,17,0.6763208024196664,19667,5,1,17.0,Other
592,7,Employed,62619,3,74398,14538.0,0,11942,0.0169160287586113,0.8195998530615555,Mortgage,303,46441.600000000006,0.9913819268817892,6,Master,Divorced,3,0,430,44,6,0.3201586294458624,55530,8,0,5.4,Home
807,15,Self-Employed,36012,4,118544,18195.2,0,8177,0.2603324901118101,0.4075649432097827,Rent,1940,47334.0,0.3739097878996015,6,Master,Widowed,0,0,686,42,20,0.7944025855303756,61013,12,1,8.0,Home
822,25,Unemployed,98797,14,86510,16562.0,0,6327,0.1482897967398425,0.6436658723291697,Other,1404,48562.4,0.5414879184426863,5,Master,Widowed,3,0,391,53,10,0.345319055475111,84916,6,0,3.6,Debt Consolidation
335,23,Self-Employed,75580,17,129021,20561.0,0,5363,0.0345499913965404,0.206402123394935,Other,891,46298.4,0.9736807751597244,0,Associate,Divorced,2,0,706,55,10,0.2170498645476475,67225,6,0,9.0,Other
344,30,Self-Employed,59229,12,112859,6458.0,0,7076,0.1726057576227761,0.3302850243005981,Rent,1701,45496.8,0.9284695620798332,5,Master,Single,3,0,425,54,3,0.8398816611034483,94102,2,0,2.7,Debt Consolidation
738,13,Self-Employed,18893,26,111859,14032.0,0,5675,0.2843095303909235,0.2588544861376733,Mortgage,592,93171.0,0.5512627046490379,1,Master,Single,4,0,540,42,10,0.8587142874358553,42211,6,1,4.0,Other
632,7,Employed,58859,6,130408,13200.64,0,3109,0.0932473422779798,0.0867745293037144,Rent,2035,72369.0,0.8656473359498271,4,Master,Single,2,0,108,27,8,0.0011855001877717,46119,5,1,15.0,Education
543,30,Unemployed,69907,9,90359,16251.0,0,2716,0.2365120022258923,0.7364514605027298,Mortgage,1764,51773.600000000006,0.6865209120332826,3,Associate,Single,2,0,536,53,0,0.7235603464832335,99644,4,0,5.4,Other
492,10,Employed,43884,5,99286,14263.0,0,2267,0.1707251601058664,0.3230413868942564,Other,1500,52816.0,0.7821715153780183,4,High School,Divorced,0,0,436,43,1,0.8021742694757468,65275,13,0,4.5,Auto
740,11,Unemployed,-471,22,20520,9850.88,0,-1355,0.0211735629317603,0.4394746771620211,Mortgage,1191,49108.0,0.4752103412386227,5,Master,Single,2,0,853,32,5,0.8989616407778187,97229,12,1,30.0,Other
433,3,Unemployed,37181,0,53982,20353.0,0,5342,0.0228816616379407,0.803930159640573,Other,1722,50933.600000000006,0.2565719708619441,8,Doctorate,Widowed,0,0,747,29,7,0.4057736228511038,96404,6,0,12.6,Education
530,32,Employed,38554,10,35405,20464.0,0,6389,0.1615684082385206,0.2316111191754193,Other,1477,50295.2,0.5518028744285725,6,High School,Married,2,0,541,53,12,0.8685345767034673,32617,8,0,3.6,Debt Consolidation
385,28,Self-Employed,21131,29,145704,26654.0,0,5136,0.2462581869733317,0.2953097513418319,Other,1212,59221.600000000006,0.4308092112517802,7,Master,Divorced,3,0,507,61,7,0.7819418976951771,93915,5,0,2.7,Home
437,29,Employed,61347,7,138092,17871.0,0,3925,0.113336278691638,0.3208048499015785,Other,3610,51828.8,0.9183926280835064,5,Bachelor,Widowed,1,0,290,51,8,0.3705684508576393,47905,14,0,4.5,Debt Consolidation
823,0,Unemployed,57660,13,66407,7180.8,0,7869,0.171961014580761,0.1315183347403803,Other,2726,54420.0,0.9419825511542878,5,Master,Widowed,3,0,540,48,17,0.2499415138480784,41288,13,1,17.0,Other
304,23,Employed,65555,0,89042,23581.0,0,2834,0.1338018875607539,0.9468099899707126,Own,1629,45056.0,0.7989004583436459,7,High School,Married,0,1,862,50,0,0.4873745156558222,23804,1,0,1.8,Other
551,10,Employed,51986,25,83605,26082.0,0,5059,0.2843092026245171,0.1692838719819142,Mortgage,730,58975.2,0.5694802873831332,0,Master,Divorced,3,0,663,35,10,0.245287171386545,33234,5,0,2.7,Other
644,9,Self-Employed,80469,18,122333,17315.0,0,1371,0.2520314345140075,0.7297787849616738,Own,2390,53576.0,0.7035241247331032,7,Master,Married,2,0,469,52,1,0.6851684799057015,54663,4,0,9.9,Other
356,6,Unemployed,54165,24,53696,14413.0,0,-2608,0.2473933226358378,0.5810939392451246,Mortgage,1983,36014.4,0.4971949062568686,2,Master,Divorced,1,1,659,41,16,0.0713135116801731,76080,7,0,9.9,Debt Consolidation
705,28,Self-Employed,55702,26,97132,9789.44,0,1898,0.2795512833360065,0.4701864214539654,Mortgage,4384,50520.0,0.8952240911959326,3,Doctorate,Divorced,1,0,537,53,14,0.8077450342605826,36149,10,1,3.0,Education
527,2,Employed,84375,0,73470,20405.0,0,1970,0.2086414722768692,0.3466839084523359,Rent,1374,59680.0,0.1161867357754775,7,High School,Widowed,4,0,683,22,4,0.1719324301399433,43248,14,0,26.1,Education
654,4,Self-Employed,49430,18,43185,21674.0,0,7152,0.2665046999224776,0.5035921562172841,Own,-127,64225.600000000006,0.8868449207251559,4,Master,Widowed,0,0,276,50,27,0.5992091411075298,98805,10,0,4.5,Debt Consolidation
