,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,LengthOfCreditHistory
2347,2,0,1,515,0.0357666808363304,2,0,1,0,20,1624,1446,18719,83666,20
2348,2,1,3,322,0.0783957100069432,5,0,0,0,15,5306,184,109832,11848,26
2349,1,2,0,452,0.8543937518132096,0,0,3,0,21,5489,1802,98184,38250,16
2350,2,4,0,486,0.3654659137942535,5,0,2,0,10,6113,3634,126169,33395,16
2351,2,3,3,168,0.2593982010009104,2,0,3,0,25,1852,3833,326338,21754,25
2352,1,4,2,985,0.165314273652964,4,0,2,0,20,14125,1012,64622,78237,27
2353,1,2,2,245,0.985851879513828,5,0,1,1,9,3140,1732,42611,79482,0
2354,0,2,2,741,0.3161150719660675,4,0,1,0,13,8462,560,201304,14257,2
2355,0,1,2,423,0.0745256708868963,10,0,2,0,0,2566,2924,108664,22263,6
2356,1,1,0,628,0.907746750605266,5,1,4,0,19,1371,1792,230988,60578,21
2357,1,1,0,1305,0.529243472514846,2,0,1,0,20,3099,2180,87949,17201,17
2358,2,0,0,71,0.6127384800511202,13,0,4,0,29,5157,3011,102701,23434,17
2359,2,3,0,677,0.9671963571656484,8,0,4,0,29,-1089,1970,60665,49086,7
2360,0,4,3,700,0.1638362883848105,12,0,1,0,27,-51,685,89686,9333,18
2361,0,3,0,343,0.2212508801748185,14,0,4,0,0,7925,2805,167190,39582,4
2362,2,1,0,258,0.3101525950081526,2,0,0,0,22,8734,659,50285,12024,16
2363,0,0,2,341,0.4662226137734626,3,0,4,0,27,1469,654,257695,6374,21
2364,2,2,1,260,0.2633891492694387,12,0,0,0,19,3976,2951,142360,48279,4
2365,2,2,2,346,0.1129021390815992,3,0,0,0,23,11283,3931,554313,16963,20
2366,1,0,0,400,0.3631657085383149,4,0,3,0,31,2690,349,38432,85394,21
2367,3,1,0,632,0.1089652487921662,12,0,0,1,21,7205,874,78737,70598,1
2368,2,2,1,212,0.2733303543166174,12,0,0,0,13,8354,1640,180892,50448,24
2369,1,3,0,544,0.4639538180656644,3,1,1,0,25,1165,1870,112435,231166,17
2370,2,3,1,289,0.6036355709991166,4,0,0,1,21,1739,581,55733,11256,2
2371,2,1,1,430,0.5005759441650399,7,0,0,0,21,2596,1243,261633,31049,29
2372,1,1,2,404,0.6279856218816844,4,0,3,0,16,1098,3203,66937,46355,5
2373,0,0,2,235,0.4064195889780352,1,0,2,0,27,1065,2665,5413,4973,1
2374,1,3,3,931,0.2985499140534471,2,0,0,0,25,2461,719,74822,10698,1
2375,2,0,0,331,0.3615751605501196,4,0,2,0,21,732,630,26403,12173,6
2376,2,3,3,210,0.34236239223063,4,0,3,0,23,3580,593,72186,17083,18
2377,3,1,2,772,0.331923418987521,4,0,3,0,21,1248,2846,17468,41657,4
2378,2,4,0,240,0.1562938019683808,2,0,0,0,25,18102,675,297892,10830,14
2379,1,4,1,516,0.799831311710595,14,0,4,0,6,6552,2133,88456,51968,14
2380,1,1,3,708,0.1668822350055709,2,0,3,0,22,3525,424,90100,145659,22
2381,3,3,3,583,0.6180158882539244,0,0,0,0,11,4139,2787,48641,61077,9
2382,3,1,1,314,0.156132981631791,13,0,0,0,21,5069,2137,-4316,60278,22
2383,1,4,0,178,0.453494909275402,12,0,4,0,11,1304,2388,-8899,38846,10
2384,3,3,1,435,0.4652274114248874,4,0,4,0,4,-893,1578,176885,10424,0
2385,1,3,3,308,0.323235762217042,2,0,3,0,30,2175,3822,21383,13063,20
2386,1,2,1,462,0.7228474271690647,4,0,4,1,9,215,2570,67456,8234,3
2387,1,0,0,408,0.6005234318389231,6,0,4,0,1,442,1088,93528,37343,4
2388,3,0,1,690,0.0821975221336293,2,1,4,0,18,3016,2739,-14655,43493,4
2389,0,2,2,407,0.9868022423363928,10,0,3,0,6,5956,2371,11752,59177,7
2390,3,3,0,375,0.0470253346621997,8,0,1,0,20,6252,-7,126385,29978,16
2391,3,3,3,620,0.2155712332612727,14,0,3,0,5,11998,553,-8789,66284,1
2392,1,0,1,890,0.2917052530771268,4,0,1,0,21,12225,2106,14331,12784,9
2393,2,3,0,892,0.1520349182111393,7,0,1,1,28,8399,1704,179380,84667,21
2394,1,1,1,601,0.0798599499374506,8,0,4,0,17,3675,3243,162434,34649,8
2395,1,3,0,626,0.7235333470274853,3,0,2,0,28,4583,140,58662,40460,2
2396,2,1,1,251,0.0830789364729771,3,0,2,0,24,2149,1677,84290,7040,5
2397,0,4,0,427,0.9892608766296832,2,0,3,0,26,6491,3387,72270,37497,22
2398,0,3,0,539,0.3705168347964872,13,0,4,0,2,6311,629,138258,40676,19
2399,1,3,1,946,0.3403162991966318,3,0,1,0,20,1890,4370,17788,58257,23
2400,1,4,3,264,0.3074054642980246,0,0,1,0,30,1743,892,18899,9077,8
2401,2,5,3,410,0.2687500857131972,8,0,1,0,25,4673,2661,143006,25842,19
2402,1,2,0,638,0.2642323390135191,9,0,0,0,26,8601,3372,49962,53609,6
2403,1,0,3,266,0.2782499797586112,4,0,0,0,28,4861,1957,1022025,58635,7
2404,0,0,2,205,0.4202234756792969,4,0,0,0,17,833,376,248983,12308,21
2405,1,0,3,270,0.1929597837292963,3,0,1,0,26,2286,307,92794,10822,25
2406,2,3,0,259,0.3666526234564041,2,0,2,0,28,3947,1736,48751,5338,23
2407,2,0,0,880,0.2571957549775064,3,0,1,0,27,1243,475,148505,49202,18
2408,0,3,3,859,0.4783386036303672,3,0,1,0,20,6856,3009,19645,11570,9
2409,3,3,1,540,0.9419825511542878,13,0,4,0,13,7869,2726,66407,57660,17
2410,2,3,1,661,0.3587743356466291,8,0,4,0,6,8298,3925,146203,52894,4
2411,0,0,1,505,0.7656366253066734,4,0,3,0,28,1465,-528,93405,49859,5
2412,0,0,3,533,0.2166960949993339,6,0,1,0,19,9010,2117,72697,16756,3
2413,2,0,3,411,0.1004431918162198,3,1,0,1,24,8313,3351,22239,238256,8
2414,0,0,2,255,0.2088057276502013,6,0,3,0,22,1451,8499,74689,31505,15
2415,0,0,2,217,0.2941122269522945,4,0,3,0,19,6758,1149,79679,5109,3
2416,2,3,1,300,0.1049172517087718,2,0,0,0,33,3397,551,137038,7398,19
2417,0,5,2,249,0.2281270461910072,5,0,3,0,19,7056,2634,39222,13217,10
2418,0,3,1,273,0.7542889251728886,4,0,1,1,23,7802,3607,104459,22814,2
2419,1,1,3,313,0.115197624721075,4,0,1,0,25,4187,296,38809,10244,13
2420,3,1,3,369,0.0207012855432735,11,0,1,0,13,7012,1571,78102,30967,26
2421,0,4,1,520,0.0394779920596555,12,0,4,0,17,2397,2202,43247,30116,0
2422,0,3,3,913,0.8979584352654504,4,0,4,0,22,3825,2676,103072,27358,9
2423,1,3,0,483,0.1931401661779512,3,0,3,1,18,8174,85,92260,11819,23
2424,2,0,1,206,0.3184085882440886,3,0,1,1,41,1506,325,17161,33321,2
2425,3,1,0,366,0.4372214536559267,11,0,4,0,11,4463,1895,48537,24453,0
2426,1,3,3,582,0.9445563532496608,1,0,4,0,1,8670,936,55165,58205,15
2427,3,4,0,596,0.2328126857068598,13,0,0,1,17,3012,2910,125715,52825,14
2428,0,2,3,360,0.2228460733056246,3,1,0,0,23,29681,1599,66104,6162,9
2429,1,2,2,784,0.1992836338147049,1,0,1,0,31,1450,320,60628,80844,13
2430,1,3,0,631,0.1471877123365632,2,0,1,1,27,8743,1365,85531,48129,14
2431,1,2,2,160,0.3421580319320079,2,0,2,0,23,707,3201,44731,22217,2
2432,3,4,2,362,0.1221275614196594,5,0,1,0,18,7663,2219,96115,29068,14
2433,1,1,1,2093,0.3071426684602918,2,0,3,1,23,6461,1770,106731,11000,15
2434,3,2,2,533,0.6151054482542434,9,0,0,0,5,2245,2077,131976,37871,16
2435,1,0,0,690,0.1055401890273059,1,0,0,0,20,532,971,21289,11331,16
2436,1,4,3,603,0.1654474275132483,13,0,0,0,1,1627,1556,107960,47678,2
2437,1,3,2,411,0.3569209675022782,14,0,0,0,24,5015,1177,87871,69722,7
2438,0,4,1,272,0.7051890773819116,1,0,4,0,29,11761,1487,59368,51463,29
2439,2,0,2,222,0.4286877233613619,5,0,3,0,27,15374,568,21112,4899,22
2440,0,2,1,183,0.5397236721257823,5,0,4,0,16,3923,3178,169222,66016,6
2441,2,1,0,522,0.3426153388069906,3,0,4,0,22,11477,1216,94697,16779,25
2442,1,0,3,279,0.4434138619751147,1,0,1,0,34,3411,3147,43228,16227,14
2443,1,5,3,542,0.3742693786934561,4,0,0,0,19,4202,276,82662,32439,18
2444,0,0,1,405,0.6786601882093322,7,0,1,0,14,8592,2804,74342,35314,12
2445,2,3,0,264,0.0810599965563556,3,0,3,0,26,1819,365,15688,6952,29
2446,0,0,1,679,0.737789987424597,6,0,4,0,0,4420,-196,-19317,36888,2
2447,3,0,2,274,0.0140779723806209,11,0,0,0,22,6393,3384,142191,36481,8
2448,1,2,0,396,0.7296453193456595,5,0,3,0,24,42091,1261,153976,26773,1
2449,1,3,3,503,0.2476033003152399,4,0,0,0,26,1358,1988,249787,8917,12
2450,1,2,2,341,0.4152198795312924,5,1,1,1,21,21707,1286,190675,36580,18
2451,2,4,3,390,0.2435849717104211,2,0,1,0,25,19564,1769,142190,22396,12
2452,0,0,3,435,0.4061654626464958,2,0,1,0,25,12441,768,259870,19415,13
2453,0,4,0,469,0.1514264892279869,11,0,2,0,24,6875,1503,155384,62069,0
2454,3,4,1,384,0.1156360819904476,11,0,4,0,19,2591,1792,93536,21118,16
2455,1,1,3,404,0.7562832249521866,6,0,2,0,1,8858,3654,74942,59917,21
2456,1,0,3,512,0.0500371941656223,6,0,3,0,29,3161,1565,77031,41988,19
2457,1,2,0,278,0.0697722724001824,4,0,4,0,22,6849,1413,131368,9970,23
2458,1,4,0,371,0.1620699541422959,6,0,3,0,23,1010,490,210557,9818,2
2459,2,1,0,316,0.9784014150229872,11,0,4,0,3,5911,2991,103759,64751,9
2460,3,2,1,286,0.9974040489405775,8,0,4,0,23,7194,2115,118374,56605,4
2461,0,0,0,289,0.935997816845904,2,0,1,0,29,-2497,4006,110206,54162,3
2462,0,3,0,430,0.9913819268817892,8,0,3,0,3,11942,303,74398,62619,6
2463,3,3,3,375,0.772195634088455,7,0,4,0,11,4253,1189,160172,70347,15
2464,0,4,0,412,0.570661779051887,7,0,3,0,3,7757,833,125959,58408,12
2465,3,2,1,763,0.0892368566969477,1,0,3,0,22,6020,2291,43465,34906,5
2466,1,2,3,316,0.4277280773329979,4,0,4,1,27,1640,2623,74405,8715,3
2467,2,1,3,361,0.0174621856174546,2,0,4,0,30,644,2010,76341,46233,26
2468,1,1,0,486,0.5683512749645876,2,0,3,0,18,2901,2096,92709,89476,19
2469,2,2,0,679,0.7562564417746565,3,0,4,0,4,2536,2030,133098,93734,27
2470,3,5,3,375,0.2098015782620511,4,0,0,0,33,3061,2222,89825,33712,8
2471,1,2,0,464,0.3260750280390158,2,0,4,0,20,9442,758,110859,36087,14
2472,3,4,2,885,0.1909272319736223,5,0,3,0,29,947,942,78428,54054,18
2473,3,1,2,390,0.3579214732475086,11,0,0,0,23,4368,1536,50474,42542,17
2474,3,2,0,447,0.1239848707698397,12,0,4,0,25,4240,822,188807,-3180,11
2475,0,0,0,224,0.622434233516601,12,0,3,0,24,6676,2714,87924,9933,16
2476,2,4,2,306,0.617741127360669,5,0,3,0,16,8571,619,242533,54535,27
2477,1,0,1,279,0.1933215179963155,3,0,3,0,28,7281,284,43021,2954,15
2478,3,3,0,111,0.0782666269524578,4,0,4,0,20,1967,705,60715,30209,13
2479,0,0,2,266,0.0301369560440062,5,0,4,0,24,1175,2457,98428,43441,29
2480,0,0,1,320,0.2155744819095081,11,0,1,0,16,10522,1704,211419,67979,5
2481,3,0,0,230,0.4276684099416178,11,0,0,0,20,971,1589,119782,55660,23
2482,0,2,3,416,0.6426371373556594,14,0,4,0,4,7468,1528,43402,65417,8
2483,3,0,0,585,0.3966281168482515,13,0,0,0,2,936,2081,59150,3160,13
2484,3,4,1,601,0.3016278668402868,1,0,1,0,8,9572,3811,97667,15327,23
2485,0,1,1,600,0.5349288327224495,10,0,4,1,8,2304,1470,179522,66007,29
2486,3,2,1,120,0.5672060542569932,3,0,4,0,21,7886,543,123701,41843,21
2487,1,0,2,1059,0.1863286596416307,3,1,0,0,20,6443,2207,20608,30736,8
2488,1,0,1,412,0.0497177373296159,2,0,3,0,16,4123,725,94304,75419,4
2489,1,4,1,549,0.0074800800743911,12,0,2,0,21,9093,1218,103284,46818,0
2490,2,4,0,999,0.331371404816988,2,0,0,0,26,4110,1606,43260,69052,24
2491,0,0,1,593,0.7960244950656602,4,0,1,0,8,4070,2227,180381,57685,16
2492,1,2,2,428,0.5887096439843018,2,0,3,0,19,1075,415,50239,315273,5
2493,1,1,0,528,0.1297965413813993,8,1,3,0,18,2657,1200,39706,10572,2
2494,2,0,2,342,0.0804731495456775,4,0,3,0,26,11193,1433,24088,1151,24
2495,3,1,0,743,0.4721131815669512,12,0,4,0,14,8122,1429,47481,9461,19
2496,1,3,3,834,0.4237946740974451,3,0,3,0,23,6039,1294,31436,16126,7
2497,2,0,0,401,0.3864561238033615,4,0,2,0,27,8219,1027,43726,28124,21
2498,1,4,1,253,0.8485421378635054,3,0,4,0,4,9365,793,87549,27357,25
2499,2,1,3,222,0.1239259175273563,3,0,3,0,28,5081,398,103852,67029,21
2500,0,2,3,155,0.9542557959191724,0,0,4,0,0,3063,2913,104264,54804,15
2501,1,2,2,503,0.6441362636254965,5,0,1,0,19,5752,2377,221616,27714,23
2502,3,1,1,290,0.9183926280835064,14,0,1,0,7,3925,3610,138092,61347,8
2503,0,2,0,506,0.3157192833998565,5,0,1,0,10,4257,-648,44444,30486,2
2504,0,3,3,431,0.6921826649145341,9,0,1,0,23,5024,2837,78438,12112,16
2505,2,4,0,485,0.606987883083992,2,0,0,0,28,2537,3293,89698,2370,12
2506,1,0,0,889,0.1739616975994635,2,0,0,0,20,2099,211,55969,19642,12
2507,0,2,0,370,0.2442660787073993,6,0,4,1,18,7595,2068,70623,45287,4
2508,2,1,3,404,0.3950783641452424,2,0,3,0,29,659,1620,109327,6632,28
2509,1,1,2,306,0.1101139539642362,3,0,0,0,23,1393,1306,66844,42281,12
2510,1,3,1,710,0.7509470903975008,11,0,0,0,9,2177,1945,130873,45882,3
2511,0,2,0,434,0.5297488768264313,8,0,1,0,28,2857,2299,79058,41902,19
2512,1,0,2,311,0.357239191220811,2,0,3,0,29,4296,657,42513,32948,27
2513,2,1,2,637,0.3146466025169174,4,0,2,0,25,8580,2937,31111,37643,18
2514,0,0,2,464,0.7557529281756818,11,0,2,0,29,9088,2072,161014,33458,7
2515,1,1,0,696,0.7325476382388714,4,0,3,0,19,11110,657,11767,23511,12
2516,1,1,2,300,0.2516731583688034,3,0,2,0,22,797,1191,8470,8231,13
2517,0,3,1,818,0.7204934745568755,6,0,1,0,15,5502,3791,103498,46179,1
2518,1,4,1,244,0.0885728625573395,2,0,0,0,21,8950,2777,22710,6855,3
2519,0,4,0,556,0.0376127070219814,4,0,0,0,7,5778,1899,95537,-10133,2
2520,0,3,2,379,0.1949670090991008,3,0,4,0,22,5712,561,74642,81944,23
2521,3,1,1,686,0.7418899185148649,13,0,4,0,18,5826,973,26891,37389,9
2522,2,0,2,220,0.2027881122694925,11,0,4,0,19,6671,2582,137808,25942,0
2523,2,1,0,565,0.175901592657297,2,0,1,1,25,10005,2312,210952,37125,24
2524,1,0,0,585,0.0969175178523181,3,0,2,1,11,1847,3703,13167,26769,4
2525,2,4,3,1560,0.1569438636629085,2,0,3,0,22,3226,1062,17139,3039,13
2526,3,0,3,379,0.3911588078135377,6,0,4,0,9,3720,1375,136237,56178,23
2527,1,0,0,962,0.241494944790594,3,0,0,0,25,3823,1831,22090,20685,28
2528,1,0,1,592,0.086262662537538,5,0,4,0,15,3502,129,340759,22166,3
2529,3,3,1,894,0.7774270803749715,4,0,4,0,21,1874,2517,115622,17492,14
2530,1,4,0,791,0.8042074172155229,8,0,4,0,18,3915,2747,102223,48057,0
2531,2,0,0,510,0.0586622112513853,0,0,0,0,26,16837,1441,36924,8977,15
2532,1,1,1,638,0.6163082434491429,4,0,0,0,3,7217,3434,109531,14797,10
2533,1,2,3,264,0.2811878861913886,3,0,1,0,24,2061,123,31013,36597,19
2534,3,0,3,931,0.1849457457903394,1,0,3,0,21,2402,699,97098,6578,7
2535,3,4,1,35,0.3581814905028334,7,0,1,0,10,2809,1175,101973,42653,5
2536,1,4,1,330,0.2218887986135205,9,0,1,0,20,4859,-874,122036,6218,24
2537,1,4,1,540,0.534189223780518,5,0,1,0,26,5812,2452,119538,22382,12
2538,0,2,3,399,0.2694529516873752,2,0,3,0,32,3188,3188,43232,22464,6
2539,2,0,2,801,0.4531312024549921,3,0,0,1,14,4926,1073,62166,42480,29
2540,3,2,2,601,0.1284302620867108,8,0,2,1,20,2265,3433,97522,19398,15
2541,2,3,0,475,0.7928117538917465,5,0,3,0,4,5740,4463,76521,84492,9
2542,2,4,0,913,0.2260688279401032,5,0,1,0,16,-373,1805,130715,30010,13
2543,1,1,0,408,0.1673700330313033,3,0,0,0,26,6527,1720,113306,62497,1
2544,2,2,1,517,0.3398230694183488,2,0,0,0,25,5772,2303,75730,-1711,28
2545,0,3,3,183,0.1886609440818479,9,0,1,0,2,4463,3893,111645,50303,13
2546,2,3,3,345,0.3148669555069946,4,0,0,0,25,4052,387,123801,51085,19
2547,2,3,2,483,0.3685301855190749,3,0,3,0,24,4197,284,82878,9122,28
2548,0,0,0,644,0.0742188596600963,6,0,1,0,2,9714,1790,128319,27490,17
2549,2,3,3,524,0.7379301693447027,3,0,1,0,17,3938,1524,70980,73772,15
2550,2,2,1,340,0.5261535663042131,5,0,3,0,17,1535,2461,33290,20852,9
2551,0,0,0,231,0.8404927167425329,5,0,3,0,4,-2016,3234,125905,61740,2
2552,0,2,2,342,0.6182591298916688,14,0,3,1,19,4047,2565,124465,66562,20
2553,1,2,0,754,0.3505633926553461,2,0,2,0,33,2378,839,60073,82434,4
2554,0,4,1,618,0.4328642713729054,9,0,3,0,11,6437,616,58068,-640,5
2555,0,4,1,391,0.3539693813148831,11,0,1,0,18,-4172,2026,108181,65208,11
2556,3,0,0,591,0.1660766965437758,9,0,4,0,6,7557,3366,-105468,34036,3
2557,1,1,2,342,0.2296642800616638,7,0,0,0,25,5626,1989,53069,45418,9
2558,0,2,1,309,0.4046831563570312,12,0,3,0,22,6008,2084,66851,55696,10
2559,2,2,1,590,0.1546960477839278,6,0,3,0,22,51236,1876,53112,31714,3
2560,3,0,0,406,0.1220954539142582,3,0,1,0,19,2260,135,293175,16723,19
2561,3,1,1,755,0.5238865316855082,13,0,0,0,4,10777,2904,101662,47323,6
2562,2,0,0,266,0.2796927107177338,1,0,3,0,21,13624,3069,102580,26515,29
2563,0,0,1,534,0.0187562385590353,7,0,0,0,25,3466,2171,87580,-285,8
2564,1,2,0,590,0.4185297240486841,4,0,1,0,16,3701,973,31621,25996,12
2565,3,1,1,819,0.2593319538688308,14,0,3,0,12,4672,3486,136467,51215,2
2566,0,0,2,524,0.1889614715315499,12,0,1,0,21,4642,738,23716,-3528,12
2567,0,3,1,485,0.6545267060409121,8,0,3,0,18,2767,2364,52975,843,17
2568,2,0,0,204,0.4861233147577801,9,0,0,0,25,1786,2399,46886,18376,25
2569,1,4,1,894,0.1590948810701455,8,0,3,0,24,1595,410,15065,21614,27
2570,0,0,0,475,0.2890328296772042,3,0,0,0,20,14355,267,136162,10914,12
2571,2,0,0,188,0.9098477893962892,10,0,4,0,1,2894,1792,105922,91557,2
2572,1,0,0,306,0.5641269618614535,7,0,0,0,19,1028,349,32939,23946,15
2573,1,1,2,1257,0.3167766682912322,3,0,1,0,27,10923,3169,311152,16669,11
2574,2,0,1,414,0.1308259845549153,2,0,1,0,24,2320,1560,32281,17085,2
2575,2,1,0,275,0.2139940866042975,3,0,3,0,16,826,432,205633,14989,23
2576,2,4,3,563,0.8544774802192555,2,0,0,0,12,-755,3136,78480,17170,0
2577,1,1,0,416,0.207215292691013,3,0,1,0,27,1926,3113,31708,17852,19
2578,1,1,1,219,0.2260337691844923,3,0,3,0,7,6401,2006,89669,32307,10
2579,0,0,0,779,0.022809828158094,5,0,4,0,26,6240,353,682633,24337,27
2580,1,3,2,623,0.6596225650185688,11,0,4,0,16,2519,2530,40687,39757,11
2581,3,0,2,484,0.2152795873193188,12,0,3,0,22,10335,2282,132785,33548,8
2582,1,0,0,401,0.8585387549656308,3,0,4,0,30,412,470,69975,56927,4
2583,0,3,3,325,0.6893325215646445,9,0,1,0,8,-400,1621,91057,33243,3
2584,0,2,1,525,0.862087532252173,1,0,3,0,3,9445,2455,119861,49684,3
2585,2,4,2,566,0.46999604622186,1,0,4,0,9,8175,1341,98943,42294,24
2586,1,4,2,591,0.0293791241499029,4,0,3,0,30,2098,392,18397,6662,13
2587,2,1,0,161,0.5997066831820388,0,0,0,1,25,6246,3642,105474,14762,5
2588,0,3,1,537,0.0495962080510756,14,0,4,0,21,5446,1830,76290,70533,13
2589,3,3,2,788,0.4026138052163682,2,0,1,0,26,8160,2877,73381,32770,24
2590,2,1,0,215,0.2450378149140131,3,0,3,0,24,1780,183,218779,8916,5
2591,0,2,1,326,0.3037208101574191,12,0,1,0,29,4495,2527,103503,11206,10
2592,3,3,1,686,0.6750715415155816,4,0,1,0,1,1309,3052,136215,9522,16
2593,2,0,0,498,0.161851102039528,5,0,1,0,20,4105,840,80430,26301,24
2594,0,2,3,254,0.2035421094670601,2,0,2,0,22,5188,1396,90590,28014,16
2595,2,0,1,1687,0.4427889090365702,2,0,3,0,25,2265,2095,103085,84326,14
2596,2,0,2,832,0.3196069487914669,2,0,3,0,26,8855,641,97547,7530,27
2597,3,4,1,575,0.8889876827935492,10,0,4,0,29,6610,234,21322,25326,3
2598,0,1,1,466,0.3967762997074929,13,0,4,0,16,2706,1584,182769,47057,21
2599,0,3,0,772,0.35078333296057,8,0,1,0,17,8844,1899,55086,420,22
2600,3,2,0,210,0.1417743339580979,3,0,3,0,17,106,1159,150152,8949,15
2601,0,3,0,207,0.7385161680811624,5,0,4,0,25,8914,2369,81885,28658,8
2602,3,1,2,567,0.3543312867392345,3,0,3,0,6,5521,3189,83143,25993,15
2603,0,2,1,1076,0.2914799469519973,6,0,0,0,21,16170,790,83836,58699,13
2604,0,0,1,614,0.4368627529007474,5,0,4,0,8,10665,1784,105780,69097,8
2605,1,1,3,625,0.0435969551452993,0,0,4,0,28,2431,2440,225188,66339,9
2606,3,2,0,433,0.1858631212478916,9,1,1,0,0,7255,2644,43595,57252,23
2607,1,3,2,748,0.6231098320991187,10,0,4,0,2,2652,1158,86116,39441,10
2608,3,2,0,640,0.7539444797677104,10,0,2,1,20,7633,3333,146744,58245,7
2609,2,1,3,203,0.0975186565881315,3,0,0,0,31,943,615,33077,159157,2
2610,1,4,3,346,0.2764007416381729,2,0,0,1,30,1920,1141,58495,14182,29
2611,3,4,1,426,0.8243662627161464,12,0,1,0,24,2778,3023,131261,88952,10
2612,1,2,2,569,0.1475239392034365,1,0,3,0,30,679,758,41441,49806,4
2613,2,2,0,133,0.1272210561770135,6,0,2,0,23,2842,5196,69668,20298,5
2614,1,0,0,324,0.7683107313838076,3,0,4,0,23,6440,4633,254161,3619,18
2615,1,2,2,782,0.1120719845342599,3,0,2,0,26,498,1229,31839,127105,2
2616,0,1,0,449,0.2376949062452546,2,0,1,0,29,1752,385,15536,8187,24
2617,1,0,3,654,0.1303304768301404,2,0,1,1,23,3108,2693,149230,18024,28
2618,1,2,1,500,0.2198977683349125,2,0,3,0,25,4866,3414,11323,3869,25
2619,1,0,1,231,0.1810397594998987,12,0,4,0,22,7386,1798,45719,23282,2
2620,1,1,3,411,0.7984278747210297,5,0,2,1,24,1336,574,15046,69588,10
2621,1,1,1,425,0.3372541975291513,4,0,1,0,29,4680,568,46145,2567,1
2622,0,0,0,167,0.6178871869573371,11,0,1,0,12,2748,1912,-3226,40996,28
2623,2,0,2,351,0.8028428559876176,6,0,2,0,4,6214,2050,67429,59977,6
2624,1,5,3,1135,0.4860550645367218,3,1,1,0,28,6112,1563,23747,28926,5
2625,0,0,3,398,0.4482594091587368,3,0,0,0,14,9463,3803,63701,-2242,26
2626,1,1,3,358,0.1904390736504925,3,0,1,0,32,3112,2088,113300,24005,9
2627,2,1,1,385,0.4894710152546948,9,0,4,1,6,10411,1740,157139,31556,13
2628,2,1,0,508,0.8738663843140408,2,0,2,1,24,1378,1805,81241,29826,14
2629,1,2,0,370,0.4377256466134492,5,0,4,0,23,8456,1258,122081,33804,7
2630,1,0,3,294,0.1414828610033195,2,0,2,0,25,10064,1346,185373,9381,9
2631,3,0,0,1337,0.268842228685533,3,0,3,0,22,9305,1340,104444,54900,27
2632,1,3,3,232,0.4830371642717967,1,0,0,0,25,1771,362,35018,27773,18
2633,0,3,1,304,0.5202721538699977,2,0,4,0,13,3199,688,21842,29352,11
2634,2,4,1,458,0.5206146710106971,2,0,0,0,3,1845,1898,51034,39100,4
2635,1,0,1,380,0.7108316110132351,6,0,2,0,26,4382,2057,23727,12611,12
2636,0,1,0,483,0.2463501555781719,0,0,0,0,28,4697,447,21514,16198,3
2637,1,1,2,276,0.1541426556496988,1,0,0,0,23,2077,2235,79253,12581,26
2638,0,0,0,362,0.4585740285804975,2,0,0,0,30,3049,1963,41949,4708,19
2639,0,1,0,298,0.763828770294093,2,0,0,0,29,3394,1161,136045,34498,1
2640,0,0,1,198,0.4966830536863389,4,0,4,0,4,3151,1939,22862,44344,15
2641,2,4,1,577,0.6247556674667659,13,0,2,0,4,2995,3171,32119,68679,8
2642,1,0,0,1239,0.301866149094508,1,0,2,0,26,1132,791,18674,3683,2
2643,3,2,1,868,0.8702114740091615,14,0,2,0,8,2493,1483,118625,61173,7
2644,3,0,2,284,0.5408860947776454,2,0,4,0,29,1467,507,25789,68001,25
2645,3,1,1,312,0.0850857968328924,3,0,4,0,0,7587,539,69013,39846,16
2646,0,0,3,612,0.7205264593200473,5,0,4,0,8,2043,793,129535,25822,9
2647,3,3,1,596,0.7135071916130135,2,0,4,1,4,6079,2670,118635,50269,2
2648,2,4,0,469,0.9861815984374812,2,0,2,0,24,10451,2573,148545,48033,3
2649,0,2,0,320,0.4313374940467673,2,0,3,0,21,8652,317,67286,71249,21
2650,0,2,2,282,0.7556565982260779,4,0,0,0,20,3073,1491,94867,38175,0
2651,1,4,3,391,0.3760155821797942,2,0,3,0,22,2869,1561,21272,26017,3
2652,3,0,2,273,0.6713664166288627,7,0,2,0,27,3822,1099,104674,21053,3
2653,1,0,0,350,0.054323161304548,1,0,4,0,29,514,5731,25527,6360,5
2654,0,3,1,634,0.7095849066155,2,0,4,0,12,5349,1725,151917,56491,25
2655,1,1,2,931,0.3608699464918604,3,0,0,0,30,2028,954,65075,23190,5
2656,0,2,1,350,0.0101272802008391,13,1,1,0,24,4124,276,122321,68974,13
2657,0,0,1,370,0.485501797684162,8,0,4,0,9,4920,2588,115119,51622,12
2658,3,0,2,485,0.705373380509048,8,0,1,0,19,8578,1642,53903,39762,22
2659,1,4,0,540,0.2489149227847671,3,0,3,0,16,1660,322,68288,28959,16
2660,1,2,3,391,0.062268078851885,3,0,3,0,31,7036,751,54266,6551,5
2661,1,0,0,487,0.5803873833403869,1,0,0,0,22,2060,344,10154,6524,10
2662,2,0,3,456,0.1163842072801431,4,0,0,0,19,3048,3050,24345,6345,21
2663,2,2,1,597,0.344363138848801,4,0,1,0,22,1718,862,10776,15374,14
